,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
0,FIVN11,Shoppings,"R$ 3,25",387420.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 65.352.435,22","R$ 6,94",0.47,,,,,"56,00%",,1
1,BZLI11,Títulos e Val. Mob.,"R$ 17,01",20.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 433.127.158,26","R$ 10,49",1.62,,,,,,,0
2,XTED11,Lajes Corporativas,"R$ 8,82",22230.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.688.895,17","R$ 13,26",0.67,,,,,"0,00%","100,00%",1
3,ALMI11,Lajes Corporativas,"R$ 921,00",240.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.446.109,75","R$ 2.252,68",0.41,,,,,"64,05%",,1
4,PABY11,Híbrido,"R$ 20,54",5550.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -12.026.292,32","R$ -15,86",-1.3,,,,,,,1
5,ORPD11,Títulos e Val. Mob.,"R$ 11,00",500.0,"R$ 1,38",,,,,,,,,,,,"R$ 43.042.241,00","R$ 148,42",0.07,,,,,,,0
6,GSFI11,Shoppings,"R$ 5,10",17880.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.021.250.921,01","R$ 13,58",0.38,,,,,"10,30%",,10
7,NEWU11,Lajes Corporativas,"R$ 40,40",440.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.168.182,05","R$ 64,92",0.62,"0,12%","-0,31%","-0,19%","-0,19%","63,20%",,3
8,PRSV11,Lajes Corporativas,"R$ 139,35",260.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 47.486.481,43","R$ 243,52",0.57,,,,,"40,90%",,2
9,FAMB11B,Lajes Corporativas,"R$ 700,24",6110.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 317.236.778,23","R$ 3.027,07",0.23,,,,,"100,00%",,1
10,FMOF11,Lajes Corporativas,"R$ 54,16",80.0,"R$ 0,64",,,,,,,,,,,,"R$ 62.381.144,65","R$ 122,80",0.44,,,,,"52,08%",,1
11,HGRS11,Residencial,"R$ 10,03",96390.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
12,HGRS11,Residencial,"R$ 10,05",503190.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
13,HGRS11,Residencial,"R$ 10,03",780200.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
14,HGRS11,Residencial,"R$ 10,04",899100.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
15,HGRS11,Residencial,"R$ 10,04",1092620.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
16,HGRS11,Residencial,"R$ 10,03",859240.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
17,HGRS11,Residencial,"R$ 10,08",1213810.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
18,HGRS11,Residencial,"R$ 10,00",1757120.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
19,HGRS11,Residencial,"R$ 10,14",1606020.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 151.683.765,07","R$ 101,60",0.1,,,,,,,0
20,KNRE11,Residencial,"R$ 0,50",63670.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 15.445.287,74","R$ 0,83",0.6,"36,83%","-28,53%","-2,21%","-8,03%",,,0
21,RBDS11,Residencial,"R$ 2,95",390.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 2.565.041,32","R$ 20,27",0.15,,,,,,,0
22,WTSP11B,Híbrido,"R$ 30,02",210.0,"R$ 0,32","0,76%","2,57%","4,67%","6,85%","0,86%","0,78%","0,57%","0,76%","0,00%","0,76%","0,76%","R$ 82.299.087,20","R$ 82,92",0.36,,,,,,,0
23,OULG11,Outros,"R$ 42,15",29080.0,"R$ 0,17","0,38%","1,14%","3,40%","8,03%","0,38%","0,57%","0,67%","1,50%","3,09%","3,48%","-3,91%","R$ 181.789.440,59","R$ 73,26",0.58,"0,27%","0,03%","0,31%","0,75%","0,00%",,2
24,VXXV11,Outros,"R$ 950,00",6010.0,"R$ 10,76",,,,,,,,,,,,"R$ 241.217.042,46","R$ 909,29",1.04,,,,,,,0
25,HRDF11,Híbrido,"R$ 0,86",450.0,"R$ 6,80",,,,,,,,,,,,"R$ 8.580.336,15","R$ 1,13",0.76,,,,,,,0
26,CJCT11,Lajes Corporativas,"R$ 69,77",640.0,"R$ 0,00",,,,,,,,,,,,"R$ 201.289.696,90","R$ 64,10",1.09,,,,,"59,00%",,1
27,LFTT11,Residencial,"R$ 83,00",40.0,"R$ 0,75",,,,,,,,,,,,"R$ 323.918.256,91","R$ 43,75",1.9,,,,,,,0
28,CTXT11,Lajes Corporativas,"R$ 11,94",3410.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 104.537.496,57","R$ 36,01",0.33,,,,,"97,00%",,1
29,SRVD11,Títulos e Val. Mob.,"R$ 8,81",4470.0,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","0,00%","1,01%","1,01%","R$ 71.453.390,81","R$ 0,74",11.87,,,,,,,0
30,RBIR11,Residencial,"R$ 62,85",1250.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 145.966.288,51","R$ 95,49",0.66,,,,,,,0
31,CARE11,Híbrido,"R$ 2,81",116790.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 291.700.133,94","R$ 8,15",0.34,,,,,,,0
32,RBGS11,Shoppings,"R$ 90,17",13900.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
33,RBGS11,Shoppings,"R$ 89,98",15090.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
34,RBGS11,Shoppings,"R$ 90,10",15930.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
35,RBGS11,Shoppings,"R$ 90,18",7680.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
36,RBGS11,Shoppings,"R$ 90,15",6180.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
37,RBGS11,Shoppings,"R$ 90,17",5560.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
38,RBGS11,Shoppings,"R$ 90,19",16580.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",0.99,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
39,RBGS11,Shoppings,"R$ 90,44",13130.0,"R$ 0,18","0,62%","1,59%","2,73%","5,12%","0,53%","0,46%","0,43%","5,12%","-1,90%","-1,29%","-28,71%","R$ 97.865.283,71","R$ 90,78",1.0,"0,18%","0,00%","0,18%","1,17%","13,00%",,1
40,IBFF11,Títulos e Val. Mob.,"R$ 3,08",24000.0,"R$ 0,30","0,44%","2,01%","4,58%","9,52%","0,67%","0,76%","0,79%","5,42%","7,50%","7,98%","19,59%","R$ 9.855.905,16","R$ 14,78",0.21,,,,,,,0
41,IBFF11,Títulos e Val. Mob.,"R$ 3,08",13000.0,"R$ 0,30","0,44%","2,01%","4,58%","9,52%","0,67%","0,76%","0,79%","5,42%","7,50%","7,98%","19,59%","R$ 9.855.905,16","R$ 14,78",0.21,,,,,,,0
42,YUFI11B,Residencial,"R$ 96,00",110.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.93,,,,,,,0
43,YUFI11B,Residencial,"R$ 95,99",26450.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.93,,,,,,,0
44,YUFI11B,Residencial,"R$ 95,48",60920.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
45,YUFI11B,Residencial,"R$ 95,10",53940.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
46,YUFI11B,Residencial,"R$ 95,42",21290.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
47,YUFI11B,Residencial,"R$ 95,44",20600.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
48,YUFI11B,Residencial,"R$ 95,38",24550.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
49,YUFI11B,Residencial,"R$ 95,41",33820.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
50,YUFI11B,Residencial,"R$ 95,60",43510.0,"R$ 0,63","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 51.099.276,98","R$ 103,72",0.92,,,,,,,0
51,CORM11,Híbrido,"R$ 99,21",3120.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
52,CORM11,Híbrido,"R$ 99,38",279870.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
53,CORM11,Híbrido,"R$ 99,51",146650.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
54,CORM11,Híbrido,"R$ 99,53",178300.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
55,CORM11,Híbrido,"R$ 99,51",138390.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
56,CORM11,Híbrido,"R$ 99,54",161310.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
57,CORM11,Híbrido,"R$ 99,50",133680.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
58,CORM11,Híbrido,"R$ 99,31",214290.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
59,CORM11,Híbrido,"R$ 99,42",202700.0,"R$ 0,77","0,90%","2,76%","5,35%","11,38%","0,92%","0,89%","0,95%","6,20%","-2,97%","-2,10%","-4,27%","R$ 90.416.237,60","R$ 88,88",1.12,,,,,,,0
60,ERCR11,Híbrido,"R$ 89,10",1770.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
61,ERCR11,Híbrido,"R$ 89,20",47790.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
62,ERCR11,Híbrido,"R$ 88,55",27380.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
63,ERCR11,Híbrido,"R$ 89,31",23150.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
64,ERCR11,Híbrido,"R$ 88,83",61230.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
65,ERCR11,Híbrido,"R$ 88,66",23500.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
66,ERCR11,Híbrido,"R$ 88,30",97240.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
67,ERCR11,Híbrido,"R$ 88,24",34880.0,"R$ 783,96","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
68,QIRI11,Títulos e Val. Mob.,"R$ 3,90",11000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.04,,,,,,,0
69,QIRI11,Títulos e Val. Mob.,"R$ 3,99",54000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.04,,,,,,,0
70,QIRI11,Títulos e Val. Mob.,"R$ 4,13",9000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.05,,,,,,,0
71,QIRI11,Títulos e Val. Mob.,"R$ 4,11",26000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.05,,,,,,,0
72,QIRI11,Títulos e Val. Mob.,"R$ 4,23",107000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.05,,,,,,,0
73,QIRI11,Títulos e Val. Mob.,"R$ 3,85",133000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.04,,,,,,,0
74,QIRI11,Títulos e Val. Mob.,"R$ 4,10",97000.0,"R$ 0,66","0,86%","2,85%","5,44%","9,60%","0,95%","0,91%","0,80%","7,00%","6,81%","7,72%","-8,39%","R$ 13.441.852,95","R$ 89,61",0.05,,,,,,,0
75,AFOF11,Títulos e Val. Mob.,"R$ 91,60",7680.0,"R$ 1,08","1,18%","3,57%","7,22%","13,48%","1,19%","1,20%","1,12%","10,43%","0,00%","1,18%","12,90%","R$ 68.114.246,62","R$ 98,55",0.93,,,,,,,0
76,BLCP11,Outros,"R$ 91,00",1230.0,"R$ 0,56","0,62%","1,72%","3,46%","6,64%","0,57%","0,58%","0,55%","5,31%","-0,54%","0,08%","19,93%","R$ 256.580.339,90","R$ 111,74",0.81,"0,50%","-0,02%","0,49%","15,81%","6,20%",,2
77,RBCO11,Lajes Corporativas,"R$ 44,00",27170.0,"R$ 0,20","0,45%","1,50%","4,23%","8,64%","0,50%","0,70%","0,72%","7,12%","5,64%","6,12%","-15,03%","R$ 340.942.316,64","R$ 90,22",0.49,"0,22%","1,03%","1,25%","-7,08%","46,00%","50,00%",4
78,ERCR11,Híbrido,"R$ 89,10",1770.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
79,ERCR11,Híbrido,"R$ 89,20",47790.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
80,ERCR11,Híbrido,"R$ 88,55",27380.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
81,ERCR11,Híbrido,"R$ 89,31",23150.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
82,ERCR11,Híbrido,"R$ 88,83",61230.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
83,ERCR11,Híbrido,"R$ 88,66",23500.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
84,ERCR11,Híbrido,"R$ 88,30",97240.0,"R$ 139,45","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 160.268.446,24","R$ 67.453,05",0.0,,,,,,,0
