,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
306,BRCR11,Híbrido,"R$ 57,20",281470.0,"R$ 0,50","0,86%","2,24%","4,54%","8,85%","0,75%","0,76%","0,74%","6,72%","-12,25%","-11,50%","-3,08%","R$ 2.673.022.814,44","R$ 100,35",0.57,"0,50%","0,15%","0,65%","-1,63%","21,00%","25,80%",15
307,BMLC11,Lajes Corporativas,"R$ 103,00",2040.0,"R$ 0,88","0,85%","2,31%","4,60%","9,21%","0,77%","0,77%","0,77%","8,17%","-1,07%","-0,23%","24,03%","R$ 108.966.338,84","R$ 109,14",0.94,"0,81%","-0,05%","0,76%","4,10%","7,00%",,2
308,SEQR11,Outros,"R$ 61,50",12980.0,"R$ 0,68","1,08%","3,09%","6,17%","11,64%","1,03%","1,03%","0,97%","10,81%","-6,12%","-5,11%","-3,54%","R$ 154.860.775,59","R$ 96,27",0.64,"0,70%","0,22%","0,93%","7,92%","0,00%",,0
309,ONEF11,Lajes Corporativas,"R$ 172,30",9080.0,"R$ 0,92","0,54%","1,62%","3,31%","6,89%","0,54%","0,55%","0,57%","6,89%","-0,15%","0,39%","41,26%","R$ 183.479.598,90","R$ 201,40",0.86,"0,46%","15,10%","15,63%","21,27%","0,00%",,1
310,DVFF11,Híbrido,"R$ 68,83",420.0,"R$ 0,85","1,19%","3,07%","6,24%","11,78%","1,02%","1,04%","0,98%","11,05%","-3,38%","-2,23%","-9,44%","R$ 100.802.430,08","R$ 91,56",0.75,"0,93%","-4,01%","-3,12%","8,77%",,,0
311,RECR11,Títulos e Val. Mob.,"R$ 85,28",687100.0,"R$ 0,74","0,85%","2,01%","5,07%","13,26%","0,67%","0,84%","1,10%","11,81%","-3,17%","-2,35%","-5,85%","R$ 2.520.731.349,40","R$ 95,33",0.89,"0,77%","0,00%","0,77%","12,72%",,,0
312,HCTR11,Outros,"R$ 100,00",353060.0,"R$ 1,10","1,11%","3,27%","6,71%","14,76%","1,09%","1,12%","1,23%","13,50%","-1,24%","-0,15%","-8,90%","R$ 2.681.663.950,61","R$ 121,43",0.82,"0,91%","-0,11%","0,80%","16,89%",,,0
313,CEOC11,Lajes Corporativas,"R$ 52,79",13990.0,"R$ 0,50","0,92%","2,58%","5,07%","9,89%","0,86%","0,85%","0,82%","9,16%","-9,64%","-8,80%","2,58%","R$ 162.972.246,79","R$ 89,76",0.59,"0,55%","-0,08%","0,48%","3,10%","0,00%",,1
314,TORD11,Outros,"R$ 7,15",821560.0,"R$ 0,08","1,08%","2,81%","6,32%","11,61%","0,94%","1,05%","0,97%","9,96%","-7,38%","-6,37%","-21,52%","R$ 493.708.826,40","R$ 14,09",0.51,"0,57%","-0,45%","0,12%","12,89%",,,0
315,DRIT11B,Lajes Corporativas,"R$ 99,33",150.0,"R$ 0,67","0,67%","2,08%","4,07%","0,00%","0,69%","0,68%","0,00%","4,07%","10,68%","11,42%","9,19%","R$ 58.209.539,09","R$ 125,65",0.79,"0,53%","-0,20%","0,34%","2,37%","10,47%",,6
316,BLMG11,Logística,"R$ 67,85",180170.0,"R$ 0,80","1,08%","2,92%","5,94%","11,50%","0,97%","0,99%","0,96%","10,54%","-11,57%","-10,62%","-12,33%","R$ 348.035.357,33","R$ 91,33",0.74,"0,88%","-2,57%","-1,72%","-1,52%","0,00%","0,00%",4
317,CPFF11,Híbrido,"R$ 65,42",92460.0,"R$ 0,60","0,90%","2,51%","5,08%","10,41%","0,84%","0,85%","0,87%","9,53%","-10,68%","-9,88%","3,02%","R$ 429.046.317,49","R$ 78,73",0.83,"0,76%","-2,56%","-1,82%","6,71%",,,0
318,BCFF11,Títulos e Val. Mob.,"R$ 63,75",472720.0,"R$ 0,56","0,83%","2,45%","4,98%","9,74%","0,82%","0,83%","0,81%","8,97%","-2,78%","-1,97%","2,30%","R$ 1.903.260.829,67","R$ 75,57",0.84,"0,74%","-3,03%","-2,31%","1,30%",,,0
319,GCRA11,Híbrido,"R$ 96,00",29500.0,"R$ 1,20","1,25%","3,66%","7,51%","0,00%","1,22%","1,25%","0,00%","12,98%","-3,65%","-2,45%","5,07%","R$ 171.582.258,95","R$ 98,00",0.98,"1,22%","0,11%","1,33%","12,74%",,,0
320,FAED11,Outros,"R$ 142,10",1710.0,"R$ 1,53","1,05%","3,01%","6,29%","12,09%","1,00%","1,05%","1,01%","11,26%","-6,19%","-5,20%","12,81%","R$ 138.821.300,04","R$ 216,18",0.66,"0,71%","0,00%","0,71%","4,95%","0,00%",,3
321,RELG11,Híbrido,"R$ 71,70",12240.0,"R$ 0,80","1,11%","2,46%","5,80%","11,97%","0,82%","0,97%","1,00%","10,97%","-5,64%","-4,59%","-0,08%","R$ 158.203.626,97","R$ 118,54",0.6,"0,67%","-0,33%","0,34%","4,62%","10,40%","10,40%",3
322,DEVA11,Títulos e Val. Mob.,"R$ 84,30",327100.0,"R$ 0,90","1,04%","2,28%","5,97%","13,98%","0,76%","0,99%","1,17%","12,67%","-2,28%","-1,26%","-5,05%","R$ 1.423.358.225,69","R$ 101,34",0.83,"0,89%","0,14%","1,03%","18,73%",,,0
323,NCHB11,Títulos e Val. Mob.,"R$ 84,98",46510.0,"R$ 1,00","1,10%","3,80%","8,13%","15,01%","1,27%","1,36%","1,25%","14,01%","-3,97%","-2,91%","6,16%","R$ 145.806.912,83","R$ 90,18",0.94,"1,11%","-1,14%","-0,04%","3,18%",,,0
324,FLCR11,Títulos e Val. Mob.,"R$ 91,35",18570.0,"R$ 0,90","0,95%","2,56%","6,42%","15,36%","0,85%","1,07%","1,28%","13,63%","2,53%","3,50%","9,27%","R$ 62.494.579,17","R$ 98,63",0.93,"0,91%","-0,68%","0,23%","8,93%",,,0
325,GTLG11,,"R$ 97,90",50.0,"R$ 0,70","0,71%","2,14%","4,25%","8,46%","0,71%","0,71%","0,70%","7,76%","-0,02%","0,69%","7,46%","R$ 671.749.268,02","R$ 93,65",1.05,"0,75%","-0,13%","0,62%","3,69%",,,0
326,VSLH11,Outros,"R$ 9,01",681540.0,"R$ 0,11","1,22%","3,60%","7,21%","14,50%","1,20%","1,20%","1,21%","13,28%","0,00%","1,22%","5,56%","R$ 312.610.065,49","R$ 10,47",0.86,"1,05%","-0,53%","0,51%","19,15%",,,0
327,CXCI11,,"R$ 75,97",9160.0,"R$ 0,83","1,08%","3,12%","6,24%","0,00%","1,04%","1,04%","0,00%","7,99%","-4,25%","-3,21%","-5,74%","R$ 194.111.706,72","R$ 94,33",0.81,"0,88%","-4,41%","-3,57%","2,57%",,,0
328,MAXR11,Outros,"R$ 69,37",112490.0,"R$ 0,65","0,86%","2,47%","4,92%","9,40%","0,82%","0,82%","0,78%","7,04%","-6,10%","-5,29%","7,22%","R$ 135.277.249,14","R$ 120,18",0.58,"0,54%","0,02%","0,56%","4,29%","2,80%",,8
329,RBRP11,Outros,"R$ 49,49",320110.0,"R$ 0,27","0,52%","1,83%","4,18%","8,32%","0,61%","0,70%","0,69%","7,67%","-5,09%","-4,60%","-19,76%","R$ 995.754.549,61","R$ 81,76",0.61,"0,33%","-1,63%","-1,31%","3,68%","13,00%","6,00%",17
330,MGLG11,Logística,"R$ 37,80",10640.0,"R$ 0,35","0,89%","2,49%","5,21%","11,74%","0,83%","0,87%","0,98%","11,13%","-4,32%","-3,47%","-18,80%","R$ 116.224.996,02","R$ 61,55",0.61,"0,57%","57,54%","58,43%","-18,62%","0,00%",,3
331,AGRX11,,"R$ 9,17",435670.0,"R$ 0,10","0,96%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,96%","0,00%","0,96%","0,96%",,,,,,,,,,0
332,CVBI11,Títulos e Val. Mob.,"R$ 85,10",374380.0,"R$ 0,75","0,83%","2,27%","5,40%","12,74%","0,76%","0,90%","1,06%","11,65%","-0,22%","0,60%","0,06%","R$ 1.027.069.045,86","R$ 93,28",0.91,"0,80%","-1,50%","-0,71%","4,81%",,,0
333,BLCA11,Lajes Corporativas,"R$ 85,00",20.0,"R$ 0,56","0,62%","1,86%","3,45%","0,00%","0,62%","0,58%","0,00%","4,99%","-0,11%","0,51%","-1,98%","R$ 142.810.647,69","R$ 89,26",0.95,"0,63%","-0,32%","0,31%","-12,47%","0,00%",,1
334,RVBI11,Títulos e Val. Mob.,"R$ 71,21",28690.0,"R$ 0,75","1,00%","2,93%","5,84%","11,50%","0,98%","0,97%","0,96%","10,60%","-3,09%","-2,12%","2,83%","R$ 120.772.113,69","R$ 83,87",0.85,"0,89%","-2,88%","-2,01%","5,11%",,,0
335,RBRF11,Títulos e Val. Mob.,"R$ 65,50",302130.0,"R$ 0,63","0,90%","2,57%","5,24%","10,18%","0,86%","0,87%","0,85%","9,37%","-2,37%","-1,49%","5,86%","R$ 1.130.629.129,06","R$ 82,64",0.79,"0,76%","-4,16%","-3,43%","0,80%",,,0
336,IRDM11,Títulos e Val. Mob.,"R$ 89,40",1064870.0,"R$ 0,70","0,75%","2,37%","6,12%","13,09%","0,79%","1,02%","1,09%","11,77%","-4,85%","-4,14%","-4,00%","R$ 3.389.714.938,91","R$ 93,04",0.96,"0,75%","-1,77%","-1,03%","3,28%",,,0
337,RBRY11,Títulos e Val. Mob.,"R$ 93,29",171420.0,"R$ 1,00","1,07%","3,10%","6,98%","14,07%","1,03%","1,16%","1,17%","12,79%","-2,98%","-1,94%","-0,97%","R$ 550.807.992,24","R$ 99,30",0.94,"1,01%","-0,58%","0,42%","3,41%",,,0
338,RBRR11,Títulos e Val. Mob.,"R$ 80,54",775610.0,"R$ 0,70","0,81%","2,34%","5,76%","12,50%","0,78%","0,96%","1,04%","11,42%","-4,32%","-3,54%","-5,91%","R$ 1.278.723.141,93","R$ 95,15",0.85,"0,74%","-1,87%","-1,15%","3,12%",,,0
339,GAME11,Híbrido,"R$ 8,88",166980.0,"R$ 0,10","1,11%","3,25%","7,12%","14,44%","1,08%","1,19%","1,20%","13,40%","-2,59%","-1,51%","-5,96%","R$ 203.954.963,26","R$ 9,84",0.9,"1,02%","0,20%","1,22%","-98,84%",,,0
340,IBCR11,Títulos e Val. Mob.,"R$ 84,80",27140.0,"R$ 0,80","0,94%","3,22%","7,31%","16,09%","1,07%","1,22%","1,34%","14,54%","-0,59%","0,34%","1,89%","R$ 91.539.316,32","R$ 95,51",0.89,"0,84%","-0,91%","-0,08%","9,49%",,,0
341,IRIM11,Híbrido,"R$ 91,90",11900.0,"R$ 0,71","0,75%","2,57%","6,78%","14,83%","0,86%","1,13%","1,24%","13,50%","-4,20%","-3,49%","-1,36%","R$ 186.681.888,44","R$ 97,23",0.95,"0,74%","-1,35%","-0,62%","2,72%",,,0
342,CPTR11,,"R$ 95,80",114530.0,"R$ 1,38","1,41%","1,41%","0,00%","0,00%","0,47%","0,00%","0,00%","1,41%","0,00%","1,41%","1,41%","R$ 408.344.526,08","R$ 98,68",0.97,"1,42%","0,00%","1,42%","1,42%",,,0
343,CPTS11,Títulos e Val. Mob.,"R$ 76,84",1204190.0,"R$ 0,37","0,46%","2,54%","6,18%","13,07%","0,85%","1,03%","1,09%","11,95%","-9,56%","-9,15%","-6,78%","R$ 2.858.127.870,96","R$ 89,93",0.85,"0,41%","-1,83%","-1,42%","1,66%",,,0
344,MCHF11,Títulos e Val. Mob.,"R$ 8,46",2055610.0,"R$ 0,11","1,23%","3,65%","7,32%","14,02%","1,22%","1,22%","1,17%","12,82%","-1,11%","0,11%","0,04%","R$ 302.861.569,80","R$ 9,37",0.9,"1,17%","-1,49%","-0,33%","0,21%",,,0
345,GCFF11,Títulos e Val. Mob.,"R$ 70,50",2890.0,"R$ 0,72","1,00%","3,03%","6,29%","12,36%","1,01%","1,05%","1,03%","11,32%","-1,14%","-0,15%","0,20%","R$ 27.997.377,16","R$ 82,69",0.85,"0,87%","-3,88%","-3,05%","-3,37%",,,0
346,VGIR11,Títulos e Val. Mob.,"R$ 9,72",4802150.0,"R$ 0,13","1,31%","3,93%","7,71%","14,58%","1,31%","1,28%","1,22%","13,67%","-0,40%","0,90%","-88,83%","R$ 993.272.195,20","R$ 9,62",1.01,"1,35%","-0,20%","1,15%","-89,14%",,,0
347,MORE11,Títulos e Val. Mob.,"R$ 65,43",51060.0,"R$ 0,60","0,89%","2,54%","5,67%","11,50%","0,85%","0,94%","0,96%","10,58%","-5,41%","-4,56%","-2,27%","R$ 193.189.471,08","R$ 83,30",0.79,"0,72%","-5,04%","-4,36%","-2,74%",,,0
348,MGHT11,Hotel,"R$ 54,90",9120.0,"R$ 0,65","1,16%","3,22%","6,87%","12,79%","1,07%","1,14%","1,07%","11,89%","-6,24%","-5,15%","-28,60%","R$ 112.466.978,44","R$ 85,61",0.64,"0,76%","-0,45%","0,30%","-6,08%",,,0
349,TRNT11,Lajes Corporativas,"R$ 125,00",620.0,"R$ 0,52","0,42%","0,93%","1,90%","4,25%","0,31%","0,32%","0,35%","3,70%","0,00%","0,42%","20,29%","R$ 797.232.182,23","R$ 202,57",0.62,"0,26%","0,01%","0,27%","1,40%","49,90%",,1
350,VGIP11,Outros,"R$ 81,32",377300.0,"R$ 0,45","0,54%","1,56%","5,17%","13,87%","0,52%","0,86%","1,16%","12,27%","-5,67%","-5,16%","-6,76%","R$ 1.068.757.358,59","R$ 90,67",0.9,"0,50%","-1,78%","-1,29%","8,00%",,,0
351,VGIA11,Títulos e Val. Mob.,"R$ 9,80",3008630.0,"R$ 0,14","1,41%","4,29%","9,20%","0,00%","1,43%","1,53%","0,00%","15,89%","-4,80%","-3,45%","9,58%","R$ 695.468.145,75","R$ 9,52",1.03,"1,47%","-0,49%","0,97%","6,44%",,,0
352,GCRI11,Títulos e Val. Mob.,"R$ 91,28",18950.0,"R$ 1,10","1,17%","3,50%","7,44%","16,02%","1,17%","1,24%","1,33%","14,63%","-0,39%","0,77%","10,43%","R$ 112.349.949,82","R$ 94,35",0.97,"1,17%","-2,34%","-1,20%","0,94%",,,0
353,HCRI11,Hospital,"R$ 224,40",1240.0,"R$ 2,43","1,11%","3,08%","5,21%","10,00%","1,03%","0,87%","0,83%","3,82%","-3,70%","-2,64%","-18,05%","R$ 59.988.560,02","R$ 299,94",0.75,"0,81%","0,00%","0,81%","3,06%","0,00%",,1
354,MGCR11,Títulos e Val. Mob.,"R$ 78,40",6790.0,"R$ 0,90","1,08%","3,54%","8,10%","15,33%","1,18%","1,35%","1,28%","14,19%","-5,03%","-4,00%","8,44%","R$ 127.904.113,96","R$ 89,93",0.87,"1,00%","-2,99%","-2,02%","4,14%",,,0
355,BRLA11,Híbrido,"R$ 143,00",200.0,"R$ 1,09","0,75%","12,66%","14,18%","18,37%","4,22%","2,36%","1,53%","17,67%","1.479,52%","1.491,43%","1.934,80%","R$ 426.827.499,46","R$ 157,77",0.91,"0,69%","0,04%","0,74%","-8,63%",,,0
356,MCCI11,Títulos e Val. Mob.,"R$ 85,45",529000.0,"R$ 1,10","1,20%","3,48%","6,86%","12,92%","1,16%","1,14%","1,08%","11,95%","-5,07%","-3,93%","1,66%","R$ 1.348.562.788,74","R$ 92,40",0.92,"1,19%","-2,01%","-0,85%","3,25%",,,0
357,NAVT11,Títulos e Val. Mob.,"R$ 72,00",14820.0,"R$ 0,85","1,18%","3,31%","6,74%","13,05%","1,10%","1,12%","1,09%","12,25%","-9,14%","-8,07%","12,25%","R$ 94.740.518,92","R$ 89,84",0.8,"0,95%","-3,92%","-3,02%","0,49%",,,0
358,OURE11,Títulos e Val. Mob.,"R$ 79,30",9340.0,"R$ 1,05","1,29%","3,80%","8,00%","14,83%","1,27%","1,33%","1,24%","13,50%","-0,15%","1,14%","8,12%","R$ 99.108.491,33","R$ 92,02",0.86,"1,14%","-2,16%","-1,04%","11,12%",,,0
359,RECX11,Outros,"R$ 70,00",920.0,"R$ 0,60","0,83%","3,01%","5,74%","12,05%","1,00%","0,96%","1,00%","10,92%","-0,94%","-0,11%","-15,60%","R$ 17.106.482,65","R$ 78,36",0.89,"0,77%","-3,80%","-3,06%","-5,68%",,,0
360,OUFF11,Títulos e Val. Mob.,"R$ 61,17",19980.0,"R$ 0,70","1,09%","3,18%","6,63%","12,92%","1,06%","1,10%","1,08%","11,99%","-4,72%","-3,68%","10,43%","R$ 138.162.698,62","R$ 76,15",0.8,"0,92%","-5,19%","-4,32%","5,61%",,,0
361,AFHI11,Títulos e Val. Mob.,"R$ 93,87",71400.0,"R$ 0,96","1,01%","3,03%","6,93%","14,79%","1,01%","1,16%","1,23%","13,51%","-1,13%","-0,13%","5,92%","R$ 286.309.475,82","R$ 94,82",0.99,"1,01%","-0,94%","0,06%","5,00%",,,0
362,ARCT11,Híbrido,"R$ 87,51",95840.0,"R$ 0,76","0,86%","2,48%","5,45%","15,06%","0,83%","0,91%","1,25%","13,48%","-3,38%","-2,55%","-7,07%","R$ 369.956.160,07","R$ 99,77",0.88,"0,76%","0,04%","0,80%","6,31%",,,4
363,SNFF11,Títulos e Val. Mob.,"R$ 86,00",39740.0,"R$ 1,30","1,44%","2,90%","5,08%","10,34%","0,97%","0,85%","0,86%","9,64%","1,24%","2,70%","12,30%","R$ 251.391.286,35","R$ 88,83",0.97,"1,46%","-4,82%","-3,43%","1,12%",,,0
364,SNCI11,Títulos e Val. Mob.,"R$ 96,09",135440.0,"R$ 1,00","1,01%","2,99%","6,62%","14,41%","1,00%","1,10%","1,20%","13,26%","-1,24%","-0,25%","8,62%","R$ 408.717.519,54","R$ 97,31",0.99,"1,03%","-0,94%","0,08%","8,67%",,,0
365,BLMC11,Outros,"R$ 82,87",100.0,"R$ 0,67","0,83%","2,60%","6,50%","13,64%","0,87%","1,08%","1,14%","12,52%","-1,28%","-0,46%","-6,54%","R$ 38.558.864,09","R$ 96,52",0.86,"0,69%","-1,69%","-1,01%","2,81%",,,0
366,RZAK11,Títulos e Val. Mob.,"R$ 97,01",785720.0,"R$ 1,50","1,49%","4,40%","9,25%","18,28%","1,47%","1,54%","1,52%","16,89%","5,18%","6,75%","24,98%","R$ 360.999.586,28","R$ 92,64",1.05,"1,62%","-0,41%","1,20%","7,90%",,,0
367,FEXC11,Títulos e Val. Mob.,"R$ 83,50",91530.0,"R$ 0,90","1,08%","3,13%","6,70%","13,60%","1,04%","1,12%","1,13%","12,55%","-5,54%","-4,52%","6,46%","R$ 1.003.494.922,39","R$ 90,75",0.92,"0,99%","-1,13%","-0,15%","7,12%",,,0
368,NCRA11,,"R$ 86,53",11130.0,"R$ 1,10","1,26%","1,26%","0,00%","0,00%","0,42%","0,00%","0,00%","1,26%","0,00%","1,26%","1,26%",,,,,,,,,,0
369,MATV11,Títulos e Val. Mob.,"R$ 86,00",420.0,"R$ 0,80","0,89%","2,66%","6,17%","13,75%","0,89%","1,03%","1,15%","12,54%","3,40%","4,32%","3,40%","R$ 39.226.174,04","R$ 92,09",0.93,"0,87%","-1,34%","-0,49%","-0,81%",,,0
370,BTLG11,Logística,"R$ 95,60",363380.0,"R$ 0,74","0,78%","2,24%","4,53%","8,72%","0,75%","0,76%","0,73%","8,04%","-5,92%","-5,19%","0,54%","R$ 2.089.628.167,96","R$ 99,19",0.96,"0,75%","0,09%","0,84%","4,82%",,"2,00%",16
371,ALZR11,Logística,"R$ 110,11",143780.0,"R$ 0,73","0,66%","2,01%","8,19%","12,18%","0,67%","1,37%","1,01%","11,52%","-3,21%","-2,57%","6,04%","R$ 740.337.456,78","R$ 106,94",1.03,"0,68%","-0,03%","0,65%","7,26%","0,00%",,15
372,BPML11,Shoppings,"R$ 61,73",210.0,"R$ 0,30","0,48%","1,37%","2,32%","0,00%","0,46%","0,39%","0,00%","2,86%","-6,03%","-5,58%","-5,15%","R$ 533.350.517,67","R$ 123,89",0.5,"0,24%","0,23%","0,47%","0,03%","5,80%",,7
373,XPML11,Shoppings,"R$ 94,49",456580.0,"R$ 0,77","0,82%","2,29%","4,41%","8,71%","0,76%","0,74%","0,73%","7,82%","-5,91%","-5,14%","8,78%","R$ 2.057.877.597,23","R$ 101,27",0.93,"0,76%","-0,66%","0,10%","6,56%","3,90%",,16
374,FCFL11,Outros,"R$ 111,00",31640.0,"R$ 0,76","0,69%","1,97%","4,20%","8,51%","0,66%","0,70%","0,71%","7,78%","-4,30%","-3,64%","4,48%","R$ 364.091.433,44","R$ 104,80",1.06,"0,73%","0,00%","0,73%","5,64%","0,00%",,1
375,XPIN11,Outros,"R$ 71,00",72910.0,"R$ 0,65","0,92%","2,51%","4,97%","9,41%","0,84%","0,83%","0,78%","8,74%","-7,60%","-6,75%","-9,72%","R$ 742.296.242,19","R$ 103,81",0.68,"0,63%","-1,37%","-0,75%","0,75%","17,30%","12,00%",5
376,EQIR11,Títulos e Val. Mob.,"R$ 9,73",9620.0,"R$ 0,11","1,14%","3,43%","17,04%","0,00%","1,14%","2,84%","0,00%","22,54%","3,09%","4,26%","-87,69%","R$ 49.267.646,34","R$ 9,80",0.99,"1,12%","-1,52%","-0,41%","-89,58%",,,0
377,BTAL11,Outros,"R$ 90,24",152260.0,"R$ 0,83","0,92%","2,64%","5,23%","10,29%","0,88%","0,87%","0,86%","9,42%","-3,18%","-2,29%","5,15%","R$ 633.527.504,16","R$ 105,89",0.85,,,,,,,7
378,MORC11,Títulos e Val. Mob.,"R$ 92,04",18170.0,"R$ 1,10","1,20%","3,55%","7,60%","15,89%","1,18%","1,27%","1,32%","14,64%","-1,11%","0,08%","6,46%","R$ 125.287.392,96","R$ 96,98",0.95,,,,,,,0
379,CCRF11,Títulos e Val. Mob.,"R$ 94,63",60.0,"R$ 0,55","0,58%","2,03%","6,04%","12,96%","0,68%","1,01%","1,08%","11,65%","-3,40%","-2,84%","6,36%","R$ 151.624.862,95","R$ 96,46",0.98,,,,,,,0
